Antibiotic,Model,ROC-AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1-Score,MCC
C,XGBoost,0.6451486145120546,0.6727357609710551,0.5922794010898075,0.1936416184971098,0.48375451263537905,0.27657378740970073,0.13242714528774832
C,LightGBM,0.6407845452521752,0.680672268907563,0.5599500585553759,0.17543859649122806,0.3971119133574007,0.24336283185840707,0.08842169239411334
C,Random Forest,0.6392166161767695,0.6395891690009337,0.6024467436435961,0.19101123595505617,0.5523465703971119,0.28385899814471244,0.1420943500399356
C,Gradient Boosting,0.64469952865342,0.673202614379085,0.574104005962002,0.18290854572713644,0.4404332129963899,0.2584745762711864,0.10739697702029945
Co-trimoxazole,XGBoost,0.6485648083908481,0.6610644257703081,0.5800603310796297,0.18758815232722145,0.46996466431095407,0.26814516129032256,0.11522164658709548
Co-trimoxazole,LightGBM,0.6426476486275344,0.6764705882352942,0.5604774404720042,0.1786833855799373,0.4028268551236749,0.247557003257329,0.0895616432908093
Co-trimoxazole,Random Forest,0.6407573128149372,0.6148459383753502,0.5983677914909228,0.18778801843317972,0.5759717314487632,0.2832319721980886,0.13569731441977828
Co-trimoxazole,Gradient Boosting,0.6480829580856762,0.6554621848739496,0.5738371441008027,0.18270571827057183,0.4628975265017668,0.262,0.10596703648367183
Furanes,XGBoost,0.6499673304450097,0.6741363211951448,0.5872076074828358,0.18301610541727673,0.4716981132075472,0.26371308016877637,0.12322574232113455
Furanes,LightGBM,0.6528080739035595,0.6932773109243697,0.5884068314552527,0.18888888888888888,0.4490566037735849,0.2659217877094972,0.12776877299785483
Furanes,Random Forest,0.6385792261838945,0.6288515406162465,0.582433831585931,0.17121588089330025,0.5207547169811321,0.25770308123249297,0.11205204979965062
Furanes,Gradient Boosting,0.6461867090198128,0.6774042950513539,0.5825906454498849,0.18113772455089822,0.45660377358490567,0.25937834941050375,0.11740293553105201
colistine,XGBoost,0.6436557208620717,0.6661998132586368,0.5789953646920148,0.17841726618705037,0.4626865671641791,0.25752855659397716,0.1116495884355482
colistine,LightGBM,0.6458409659280969,0.6890756302521008,0.5792781025502158,0.18412698412698414,0.43283582089552236,0.2583518930957684,0.1151302009800558
